"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","LIFEEXP","MEN","YR","A","2011",79.7,
"ITA","LIFEEXP","MEN","YR","A","2012",79.8,
"ITA","LIFEEXP","MEN","YR","A","2013",80.3,
"ITA","LIFEEXP","MEN","YR","A","2014",80.7,
"ITA","LIFEEXP","MEN","YR","A","2015",80.3,
"ITA","LIFEEXP","MEN","YR","A","2016",81,
"ITA","LIFEEXP","MEN","YR","A","2017",80.8,
"JPN","LIFEEXP","MEN","YR","A","1960",65.3,
"JPN","LIFEEXP","MEN","YR","A","1961",66,
"JPN","LIFEEXP","MEN","YR","A","1962",66.2,
"JPN","LIFEEXP","MEN","YR","A","1963",67.2,
"JPN","LIFEEXP","MEN","YR","A","1964",67.7,
"JPN","LIFEEXP","MEN","YR","A","1965",67.7,
"JPN","LIFEEXP","MEN","YR","A","1966",68.4,
"JPN","LIFEEXP","MEN","YR","A","1967",68.9,
"JPN","LIFEEXP","MEN","YR","A","1968",69.1,
"JPN","LIFEEXP","MEN","YR","A","1969",69.2,
"JPN","LIFEEXP","MEN","YR","A","1970",69.3,
"JPN","LIFEEXP","MEN","YR","A","1971",70.2,
"JPN","LIFEEXP","MEN","YR","A","1972",70.5,
"JPN","LIFEEXP","MEN","YR","A","1973",70.7,
"JPN","LIFEEXP","MEN","YR","A","1974",71.2,
"JPN","LIFEEXP","MEN","YR","A","1975",71.7,
"JPN","LIFEEXP","MEN","YR","A","1976",72.2,
"JPN","LIFEEXP","MEN","YR","A","1977",72.7,
"JPN","LIFEEXP","MEN","YR","A","1978",73,
"JPN","LIFEEXP","MEN","YR","A","1979",73.5,
"JPN","LIFEEXP","MEN","YR","A","1980",73.4,
"JPN","LIFEEXP","MEN","YR","A","1981",73.8,
"JPN","LIFEEXP","MEN","YR","A","1982",74.2,
"JPN","LIFEEXP","MEN","YR","A","1983",74.2,
"JPN","LIFEEXP","MEN","YR","A","1984",74.5,
"JPN","LIFEEXP","MEN","YR","A","1985",74.8,
"JPN","LIFEEXP","MEN","YR","A","1986",75.2,
"JPN","LIFEEXP","MEN","YR","A","1987",75.6,
"JPN","LIFEEXP","MEN","YR","A","1988",75.5,
"JPN","LIFEEXP","MEN","YR","A","1989",75.9,
"JPN","LIFEEXP","MEN","YR","A","1990",75.9,
"JPN","LIFEEXP","MEN","YR","A","1991",76.1,
"JPN","LIFEEXP","MEN","YR","A","1992",76.1,
"JPN","LIFEEXP","MEN","YR","A","1993",76.3,
"JPN","LIFEEXP","MEN","YR","A","1994",76.6,
"JPN","LIFEEXP","MEN","YR","A","1995",76.4,
"JPN","LIFEEXP","MEN","YR","A","1996",77,
"JPN","LIFEEXP","MEN","YR","A","1997",77.2,
"JPN","LIFEEXP","MEN","YR","A","1998",77.2,
"JPN","LIFEEXP","MEN","YR","A","1999",77.1,
"JPN","LIFEEXP","MEN","YR","A","2000",77.7,
"JPN","LIFEEXP","MEN","YR","A","2001",78.1,
"JPN","LIFEEXP","MEN","YR","A","2002",78.3,
"JPN","LIFEEXP","MEN","YR","A","2003",78.4,
"JPN","LIFEEXP","MEN","YR","A","2004",78.6,
"JPN","LIFEEXP","MEN","YR","A","2005",78.6,
"JPN","LIFEEXP","MEN","YR","A","2006",79,
"JPN","LIFEEXP","MEN","YR","A","2007",79.2,
"JPN","LIFEEXP","MEN","YR","A","2008",79.3,
"JPN","LIFEEXP","MEN","YR","A","2009",79.6,
"JPN","LIFEEXP","MEN","YR","A","2010",79.6,
"JPN","LIFEEXP","MEN","YR","A","2011",79.4,
"JPN","LIFEEXP","MEN","YR","A","2012",79.9,
"JPN","LIFEEXP","MEN","YR","A","2013",80.2,
"JPN","LIFEEXP","MEN","YR","A","2014",80.5,
"JPN","LIFEEXP","MEN","YR","A","2015",80.8,
"JPN","LIFEEXP","MEN","YR","A","2016",81,
"JPN","LIFEEXP","MEN","YR","A","2017",81.1,
"KOR","LIFEEXP","MEN","YR","A","1970",58.7,
"KOR","LIFEEXP","MEN","YR","A","1971",59.1,
"KOR","LIFEEXP","MEN","YR","A","1972",59.4,
"KOR","LIFEEXP","MEN","YR","A","1973",59.7,
"KOR","LIFEEXP","MEN","YR","A","1974",60,
"KOR","LIFEEXP","MEN","YR","A","1975",60.3,
"KOR","LIFEEXP","MEN","YR","A","1976",60.6,
"KOR","LIFEEXP","MEN","YR","A","1977",60.9,
"KOR","LIFEEXP","MEN","YR","A","1978",61.1,
"KOR","LIFEEXP","MEN","YR","A","1979",61.4,
"KOR","LIFEEXP","MEN","YR","A","1980",61.9,
"KOR","LIFEEXP","MEN","YR","A","1981",62.4,
"KOR","LIFEEXP","MEN","YR","A","1982",62.9,
"KOR","LIFEEXP","MEN","YR","A","1983",63.4,
"KOR","LIFEEXP","MEN","YR","A","1984",64,
"KOR","LIFEEXP","MEN","YR","A","1985",64.6,
"KOR","LIFEEXP","MEN","YR","A","1986",65.3,
"KOR","LIFEEXP","MEN","YR","A","1987",65.9,
"KOR","LIFEEXP","MEN","YR","A","1988",66.5,
"KOR","LIFEEXP","MEN","YR","A","1989",67,
"KOR","LIFEEXP","MEN","YR","A","1990",67.5,
"KOR","LIFEEXP","MEN","YR","A","1991",67.9,
"KOR","LIFEEXP","MEN","YR","A","1992",68.4,
"KOR","LIFEEXP","MEN","YR","A","1993",68.9,
"KOR","LIFEEXP","MEN","YR","A","1994",69.3,
"KOR","LIFEEXP","MEN","YR","A","1995",69.7,
"KOR","LIFEEXP","MEN","YR","A","1996",70.2,
"KOR","LIFEEXP","MEN","YR","A","1997",70.7,
"KOR","LIFEEXP","MEN","YR","A","1998",71.2,
"KOR","LIFEEXP","MEN","YR","A","1999",71.8,
"KOR","LIFEEXP","MEN","YR","A","2000",72.3,
"KOR","LIFEEXP","MEN","YR","A","2001",72.9,
"KOR","LIFEEXP","MEN","YR","A","2002",73.4,
"KOR","LIFEEXP","MEN","YR","A","2003",73.8,
"KOR","LIFEEXP","MEN","YR","A","2004",74.3,
"KOR","LIFEEXP","MEN","YR","A","2005",74.9,
"KOR","LIFEEXP","MEN","YR","A","2006",75.4,
"KOR","LIFEEXP","MEN","YR","A","2007",75.9,
"KOR","LIFEEXP","MEN","YR","A","2008",76.2,
"KOR","LIFEEXP","MEN","YR","A","2009",76.7,
"KOR","LIFEEXP","MEN","YR","A","2010",76.8,
"KOR","LIFEEXP","MEN","YR","A","2011",77.3,
"KOR","LIFEEXP","MEN","YR","A","2012",77.6,
"KOR","LIFEEXP","MEN","YR","A","2013",78.1,
"KOR","LIFEEXP","MEN","YR","A","2014",78.6,
"KOR","LIFEEXP","MEN","YR","A","2015",79,
"KOR","LIFEEXP","MEN","YR","A","2016",79.3,
"KOR","LIFEEXP","MEN","YR","A","2017",79.7,
"LUX","LIFEEXP","MEN","YR","A","1960",66.5,
"LUX","LIFEEXP","MEN","YR","A","1971",66.2,
"LUX","LIFEEXP","MEN","YR","A","1972",67.7,
"LUX","LIFEEXP","MEN","YR","A","1973",66.9,
"LUX","LIFEEXP","MEN","YR","A","1974",67.1,
"LUX","LIFEEXP","MEN","YR","A","1975",67.3,
"LUX","LIFEEXP","MEN","YR","A","1976",67.2,
"LUX","LIFEEXP","MEN","YR","A","1977",68.2,
"LUX","LIFEEXP","MEN","YR","A","1978",68.5,
"LUX","LIFEEXP","MEN","YR","A","1979",69,
"LUX","LIFEEXP","MEN","YR","A","1980",70,
"LUX","LIFEEXP","MEN","YR","A","1981",68.9,
"LUX","LIFEEXP","MEN","YR","A","1982",68.9,
"LUX","LIFEEXP","MEN","YR","A","1983",69.9,
"LUX","LIFEEXP","MEN","YR","A","1984",69.7,
"LUX","LIFEEXP","MEN","YR","A","1985",70.3,
"LUX","LIFEEXP","MEN","YR","A","1986",70.7,
"LUX","LIFEEXP","MEN","YR","A","1987",70.6,
"LUX","LIFEEXP","MEN","YR","A","1988",71,
"LUX","LIFEEXP","MEN","YR","A","1989",71.2,
"LUX","LIFEEXP","MEN","YR","A","1990",72.4,
"LUX","LIFEEXP","MEN","YR","A","1991",72,
"LUX","LIFEEXP","MEN","YR","A","1992",71.9,
"LUX","LIFEEXP","MEN","YR","A","1993",72.2,
"LUX","LIFEEXP","MEN","YR","A","1994",73.2,
"LUX","LIFEEXP","MEN","YR","A","1995",73,
"LUX","LIFEEXP","MEN","YR","A","1996",73.3,
"LUX","LIFEEXP","MEN","YR","A","1997",74,
"LUX","LIFEEXP","MEN","YR","A","1998",73.7,
"LUX","LIFEEXP","MEN","YR","A","1999",74.4,
"LUX","LIFEEXP","MEN","YR","A","2000",74.6,
"LUX","LIFEEXP","MEN","YR","A","2001",75.1,
"LUX","LIFEEXP","MEN","YR","A","2002",74.6,
"LUX","LIFEEXP","MEN","YR","A","2003",74.8,
"LUX","LIFEEXP","MEN","YR","A","2004",76,
"LUX","LIFEEXP","MEN","YR","A","2005",76.7,
"LUX","LIFEEXP","MEN","YR","A","2006",76.8,
"LUX","LIFEEXP","MEN","YR","A","2007",76.7,
"LUX","LIFEEXP","MEN","YR","A","2008",78.1,
"LUX","LIFEEXP","MEN","YR","A","2009",78.1,
"LUX","LIFEEXP","MEN","YR","A","2010",77.9,
"LUX","LIFEEXP","MEN","YR","A","2011",78.5,
"LUX","LIFEEXP","MEN","YR","A","2012",79.1,"B"
"LUX","LIFEEXP","MEN","YR","A","2013",79.8,
"LUX","LIFEEXP","MEN","YR","A","2014",79.4,
"LUX","LIFEEXP","MEN","YR","A","2015",80,
"LUX","LIFEEXP","MEN","YR","A","2016",80.1,
"LUX","LIFEEXP","MEN","YR","A","2017",79.9,
"MEX","LIFEEXP","MEN","YR","A","1960",55.8,
"MEX","LIFEEXP","MEN","YR","A","1961",56.5,
"MEX","LIFEEXP","MEN","YR","A","1962",57.1,
"MEX","LIFEEXP","MEN","YR","A","1963",57.6,
"MEX","LIFEEXP","MEN","YR","A","1964",58.1,
"MEX","LIFEEXP","MEN","YR","A","1965",58.5,
"MEX","LIFEEXP","MEN","YR","A","1966",58.8,
"MEX","LIFEEXP","MEN","YR","A","1967",59,
"MEX","LIFEEXP","MEN","YR","A","1968",59.2,
"MEX","LIFEEXP","MEN","YR","A","1969",59.5,
"MEX","LIFEEXP","MEN","YR","A","1970",58.5,
"MEX","LIFEEXP","MEN","YR","A","1971",60.2,
"MEX","LIFEEXP","MEN","YR","A","1972",60.7,
"MEX","LIFEEXP","MEN","YR","A","1973",61.2,
"MEX","LIFEEXP","MEN","YR","A","1974",61.7,
"MEX","LIFEEXP","MEN","YR","A","1975",62,
"MEX","LIFEEXP","MEN","YR","A","1976",62.4,
"MEX","LIFEEXP","MEN","YR","A","1977",62.8,
"MEX","LIFEEXP","MEN","YR","A","1978",63.1,
"MEX","LIFEEXP","MEN","YR","A","1979",63.6,
"MEX","LIFEEXP","MEN","YR","A","1980",64.1,
"MEX","LIFEEXP","MEN","YR","A","1981",64.6,
"MEX","LIFEEXP","MEN","YR","A","1982",65.1,
"MEX","LIFEEXP","MEN","YR","A","1983",65.6,
"MEX","LIFEEXP","MEN","YR","A","1984",66.1,
"MEX","LIFEEXP","MEN","YR","A","1985",66.6,
"MEX","LIFEEXP","MEN","YR","A","1986",67,
"MEX","LIFEEXP","MEN","YR","A","1987",67.3,
"MEX","LIFEEXP","MEN","YR","A","1988",67.7,
"MEX","LIFEEXP","MEN","YR","A","1989",67.9,
"MEX","LIFEEXP","MEN","YR","A","1990",67,
"MEX","LIFEEXP","MEN","YR","A","1991",67.5,
"MEX","LIFEEXP","MEN","YR","A","1992",68,
"MEX","LIFEEXP","MEN","YR","A","1993",68.4,
"MEX","LIFEEXP","MEN","YR","A","1994",68.8,
"MEX","LIFEEXP","MEN","YR","A","1995",69.2,
"MEX","LIFEEXP","MEN","YR","A","1996",69.5,
"MEX","LIFEEXP","MEN","YR","A","1997",69.8,
"MEX","LIFEEXP","MEN","YR","A","1998",70,
"MEX","LIFEEXP","MEN","YR","A","1999",70.3,
"MEX","LIFEEXP","MEN","YR","A","2000",70.5,
"MEX","LIFEEXP","MEN","YR","A","2001",70.7,
"MEX","LIFEEXP","MEN","YR","A","2002",70.8,
"MEX","LIFEEXP","MEN","YR","A","2003",71,
"MEX","LIFEEXP","MEN","YR","A","2004",71.2,
"MEX","LIFEEXP","MEN","YR","A","2005",71.3,
"MEX","LIFEEXP","MEN","YR","A","2006",71.4,
"MEX","LIFEEXP","MEN","YR","A","2007",71.5,
"MEX","LIFEEXP","MEN","YR","A","2008",71.3,
"MEX","LIFEEXP","MEN","YR","A","2009",71.1,
"MEX","LIFEEXP","MEN","YR","A","2010",71.1,
"MEX","LIFEEXP","MEN","YR","A","2011",71.2,
"MEX","LIFEEXP","MEN","YR","A","2012",71.4,
"MEX","LIFEEXP","MEN","YR","A","2013",71.7,
"MEX","LIFEEXP","MEN","YR","A","2014",72.1,
"MEX","LIFEEXP","MEN","YR","A","2015",72.3,
"MEX","LIFEEXP","MEN","YR","A","2016",72.6,
"MEX","LIFEEXP","MEN","YR","A","2017",72.9,
"MEX","LIFEEXP","MEN","YR","A","2018",72.2,"P"
"NLD","LIFEEXP","MEN","YR","A","1960",71.5,
"NLD","LIFEEXP","MEN","YR","A","1961",71.6,
"NLD","LIFEEXP","MEN","YR","A","1962",71.1,
"NLD","LIFEEXP","MEN","YR","A","1963",71,
"NLD","LIFEEXP","MEN","YR","A","1964",71.3,
"NLD","LIFEEXP","MEN","YR","A","1965",71.1,
"NLD","LIFEEXP","MEN","YR","A","1966",71,
"NLD","LIFEEXP","MEN","YR","A","1967",71.2,
"NLD","LIFEEXP","MEN","YR","A","1968",70.9,
"NLD","LIFEEXP","MEN","YR","A","1969",70.9,
"NLD","LIFEEXP","MEN","YR","A","1970",70.8,
"NLD","LIFEEXP","MEN","YR","A","1971",71,
"NLD","LIFEEXP","MEN","YR","A","1972",70.8,
"NLD","LIFEEXP","MEN","YR","A","1973",71.3,
"NLD","LIFEEXP","MEN","YR","A","1974",71.6,
"NLD","LIFEEXP","MEN","YR","A","1975",71.5,
"NLD","LIFEEXP","MEN","YR","A","1976",71.5,
"NLD","LIFEEXP","MEN","YR","A","1977",72.1,
"NLD","LIFEEXP","MEN","YR","A","1978",72,
"NLD","LIFEEXP","MEN","YR","A","1979",72.5,
"NLD","LIFEEXP","MEN","YR","A","1980",72.5,
"NLD","LIFEEXP","MEN","YR","A","1981",72.7,
"NLD","LIFEEXP","MEN","YR","A","1982",72.7,
"NLD","LIFEEXP","MEN","YR","A","1983",72.9,
"NLD","LIFEEXP","MEN","YR","A","1984",73,
"NLD","LIFEEXP","MEN","YR","A","1985",73.1,
"NLD","LIFEEXP","MEN","YR","A","1986",73.1,
"NLD","LIFEEXP","MEN","YR","A","1987",73.5,
"NLD","LIFEEXP","MEN","YR","A","1988",73.7,
"NLD","LIFEEXP","MEN","YR","A","1989",73.7,
"NLD","LIFEEXP","MEN","YR","A","1990",73.8,
"NLD","LIFEEXP","MEN","YR","A","1991",74.1,
"NLD","LIFEEXP","MEN","YR","A","1992",74.3,
"NLD","LIFEEXP","MEN","YR","A","1993",74,
"NLD","LIFEEXP","MEN","YR","A","1994",74.6,
"NLD","LIFEEXP","MEN","YR","A","1995",74.6,
"NLD","LIFEEXP","MEN","YR","A","1996",74.7,
"NLD","LIFEEXP","MEN","YR","A","1997",75.2,
"NLD","LIFEEXP","MEN","YR","A","1998",75.2,
"NLD","LIFEEXP","MEN","YR","A","1999",75.3,
"NLD","LIFEEXP","MEN","YR","A","2000",75.6,
"NLD","LIFEEXP","MEN","YR","A","2001",75.8,
"NLD","LIFEEXP","MEN","YR","A","2002",76,
"NLD","LIFEEXP","MEN","YR","A","2003",76.3,
"NLD","LIFEEXP","MEN","YR","A","2004",76.9,
"NLD","LIFEEXP","MEN","YR","A","2005",77.2,
"NLD","LIFEEXP","MEN","YR","A","2006",77.7,
"NLD","LIFEEXP","MEN","YR","A","2007",78.1,
"NLD","LIFEEXP","MEN","YR","A","2008",78.4,
"NLD","LIFEEXP","MEN","YR","A","2009",78.7,
"NLD","LIFEEXP","MEN","YR","A","2010",78.9,
"NLD","LIFEEXP","MEN","YR","A","2011",79.4,
"NLD","LIFEEXP","MEN","YR","A","2012",79.3,
"NLD","LIFEEXP","MEN","YR","A","2013",79.5,
"NLD","LIFEEXP","MEN","YR","A","2014",80,
"NLD","LIFEEXP","MEN","YR","A","2015",79.9,
"NLD","LIFEEXP","MEN","YR","A","2016",80,
"NLD","LIFEEXP","MEN","YR","A","2017",80.2,
"NZL","LIFEEXP","MEN","YR","A","1961",68.4,
"NZL","LIFEEXP","MEN","YR","A","1962",68.4,
"NZL","LIFEEXP","MEN","YR","A","1963",68.3,
"NZL","LIFEEXP","MEN","YR","A","1964",68.3,
"NZL","LIFEEXP","MEN","YR","A","1965",68.2,
"NZL","LIFEEXP","MEN","YR","A","1966",68.2,
"NZL","LIFEEXP","MEN","YR","A","1967",68.3,
"NZL","LIFEEXP","MEN","YR","A","1968",68.3,
"NZL","LIFEEXP","MEN","YR","A","1969",68.4,
"NZL","LIFEEXP","MEN","YR","A","1970",68.5,
"NZL","LIFEEXP","MEN","YR","A","1971",68.5,
"NZL","LIFEEXP","MEN","YR","A","1972",68.6,
"NZL","LIFEEXP","MEN","YR","A","1973",68.7,
"NZL","LIFEEXP","MEN","YR","A","1974",68.8,
"NZL","LIFEEXP","MEN","YR","A","1975",68.9,
"NZL","LIFEEXP","MEN","YR","A","1976",69,
"NZL","LIFEEXP","MEN","YR","A","1977",69.3,
"NZL","LIFEEXP","MEN","YR","A","1978",69.6,
"NZL","LIFEEXP","MEN","YR","A","1979",69.8,
"NZL","LIFEEXP","MEN","YR","A","1980",70.1,
"NZL","LIFEEXP","MEN","YR","A","1981",70.4,
"NZL","LIFEEXP","MEN","YR","A","1982",70.5,
"NZL","LIFEEXP","MEN","YR","A","1983",70.7,
"NZL","LIFEEXP","MEN","YR","A","1984",70.8,
"NZL","LIFEEXP","MEN","YR","A","1985",71,
"NZL","LIFEEXP","MEN","YR","A","1986",71.1,
"NZL","LIFEEXP","MEN","YR","A","1987",71.5,
"NZL","LIFEEXP","MEN","YR","A","1988",71.8,
"NZL","LIFEEXP","MEN","YR","A","1989",72.2,
"NZL","LIFEEXP","MEN","YR","A","1990",72.5,
"NZL","LIFEEXP","MEN","YR","A","1991",72.9,
"NZL","LIFEEXP","MEN","YR","A","1992",73.2,
"NZL","LIFEEXP","MEN","YR","A","1993",73.5,
"NZL","LIFEEXP","MEN","YR","A","1994",73.8,
"NZL","LIFEEXP","MEN","YR","A","1995",74.1,
"NZL","LIFEEXP","MEN","YR","A","1996",74.4,
"NZL","LIFEEXP","MEN","YR","A","1997",74.8,
"NZL","LIFEEXP","MEN","YR","A","1998",75.2,
"NZL","LIFEEXP","MEN","YR","A","1999",75.6,
"NZL","LIFEEXP","MEN","YR","A","2000",75.9,
"NZL","LIFEEXP","MEN","YR","A","2001",76.3,
"NZL","LIFEEXP","MEN","YR","A","2002",76.7,
"NZL","LIFEEXP","MEN","YR","A","2003",77,
"NZL","LIFEEXP","MEN","YR","A","2004",77.4,
"NZL","LIFEEXP","MEN","YR","A","2005",77.7,
"NZL","LIFEEXP","MEN","YR","A","2006",78,
"NZL","LIFEEXP","MEN","YR","A","2007",78.2,
"NZL","LIFEEXP","MEN","YR","A","2008",78.4,
"NZL","LIFEEXP","MEN","YR","A","2009",78.7,
"NZL","LIFEEXP","MEN","YR","A","2010",78.9,
"NZL","LIFEEXP","MEN","YR","A","2011",79.1,
"NZL","LIFEEXP","MEN","YR","A","2012",79.3,
"NZL","LIFEEXP","MEN","YR","A","2013",79.5,
"NZL","LIFEEXP","MEN","YR","A","2014",79.7,
"NZL","LIFEEXP","MEN","YR","A","2015",79.9,
"NZL","LIFEEXP","MEN","YR","A","2016",80,
"NZL","LIFEEXP","MEN","YR","A","2017",80.2,"P"
"NOR","LIFEEXP","MEN","YR","A","1960",71.6,
"NOR","LIFEEXP","MEN","YR","A","1961",71.4,
"NOR","LIFEEXP","MEN","YR","A","1962",71.2,
"NOR","LIFEEXP","MEN","YR","A","1963",71.1,
"NOR","LIFEEXP","MEN","YR","A","1964",71.5,
"NOR","LIFEEXP","MEN","YR","A","1965",71.3,
"NOR","LIFEEXP","MEN","YR","A","1966",71.6,
"NOR","LIFEEXP","MEN","YR","A","1967",71.5,
"NOR","LIFEEXP","MEN","YR","A","1968",71.4,
"NOR","LIFEEXP","MEN","YR","A","1969",71,
"NOR","LIFEEXP","MEN","YR","A","1970",71.2,
"NOR","LIFEEXP","MEN","YR","A","1971",71.3,
"NOR","LIFEEXP","MEN","YR","A","1972",71.5,
"NOR","LIFEEXP","MEN","YR","A","1973",71.5,
"NOR","LIFEEXP","MEN","YR","A","1974",71.9,
"NOR","LIFEEXP","MEN","YR","A","1975",71.9,
"NOR","LIFEEXP","MEN","YR","A","1976",72.2,
"NOR","LIFEEXP","MEN","YR","A","1977",72.5,
"NOR","LIFEEXP","MEN","YR","A","1978",72.6,
"NOR","LIFEEXP","MEN","YR","A","1979",72.4,
"NOR","LIFEEXP","MEN","YR","A","1980",72.4,
"NOR","LIFEEXP","MEN","YR","A","1981",72.7,
"NOR","LIFEEXP","MEN","YR","A","1982",72.7,
"NOR","LIFEEXP","MEN","YR","A","1983",72.8,
"NOR","LIFEEXP","MEN","YR","A","1984",73,
"NOR","LIFEEXP","MEN","YR","A","1985",72.6,
"NOR","LIFEEXP","MEN","YR","A","1986",72.9,
"NOR","LIFEEXP","MEN","YR","A","1987",72.8,
"NOR","LIFEEXP","MEN","YR","A","1988",73.1,
"NOR","LIFEEXP","MEN","YR","A","1989",73.3,
"NOR","LIFEEXP","MEN","YR","A","1990",73.4,
"NOR","LIFEEXP","MEN","YR","A","1991",74,
"NOR","LIFEEXP","MEN","YR","A","1992",74.2,
"NOR","LIFEEXP","MEN","YR","A","1993",74.2,
"NOR","LIFEEXP","MEN","YR","A","1994",74.9,
"NOR","LIFEEXP","MEN","YR","A","1995",74.8,
"NOR","LIFEEXP","MEN","YR","A","1996",75.4,
"NOR","LIFEEXP","MEN","YR","A","1997",75.5,
